unique_id,day,dox,division,average_repeat_gain
20230801_plate0117_A01.fsa,24,Non-induced,Dividing,4.547426247130062
20230801_plate0117_A02.fsa,24,Non-induced,Dividing,4.896223480393104
20230801_plate0117_A03.fsa,24,Non-induced,Dividing,6.395998762517735
20230801_plate0117_A04.fsa,24,Non-induced,Dividing,5.868032213043563
20230801_plate0117_A05.fsa,24,Non-induced,Dividing,5.211273107426052
20230801_plate0117_A06.fsa,24,Non-induced,Dividing,4.778734285898821
20230801_plate0117_A07.fsa,24,Induced,Dividing,2.4054623772374555
20230801_plate0117_A08.fsa,24,Induced,Dividing,2.161392250213467
20230801_plate0117_A09.fsa,24,Induced,Dividing,1.9445566642778545
20230801_plate0117_A10.fsa,24,Induced,Dividing,2.2085670073622197
20230801_plate0117_A11.fsa,24,Induced,Dividing,3.007876729138218
20230801_plate0117_A12.fsa,24,Induced,Dividing,0.4534789864586912
20230801_plate0117_B01.fsa,24,Non-induced,Non-dividing,3.8567049414790233
20230801_plate0117_B02.fsa,24,Non-induced,Non-dividing,4.057018051733337
20230801_plate0117_B03.fsa,24,Non-induced,Non-dividing,4.356747706150287
20230801_plate0117_B04.fsa,24,Non-induced,Non-dividing,3.2642649043066285
20230801_plate0117_B05.fsa,24,Non-induced,Non-dividing,3.8458542054816007
20230801_plate0117_B06.fsa,24,Non-induced,Non-dividing,3.7414375631637427
20230801_plate0117_B07.fsa,24,Induced,Non-dividing,2.2172944355575623
20230801_plate0117_B08.fsa,24,Induced,Non-dividing,2.294924618152706
20230801_plate0117_B09.fsa,24,Induced,Non-dividing,2.201068020284069
20230801_plate0117_B10.fsa,24,Induced,Non-dividing,2.0336291159184867
20230801_plate0117_B11.fsa,24,Induced,Non-dividing,1.8260470687428096
20230801_plate0117_B12.fsa,24,Induced,Non-dividing,1.7188988164866004
20230801_plate0117_C01.fsa,48,Non-induced,Dividing,15.312978291686136
20230801_plate0117_C02.fsa,48,Non-induced,Dividing,11.35081366810428
20230801_plate0117_C03.fsa,48,Non-induced,Dividing,12.80676937948212
20230801_plate0117_C04.fsa,48,Non-induced,Dividing,11.63596427119495
20230801_plate0117_C05.fsa,48,Non-induced,Dividing,14.302291286192059
20230801_plate0117_C06.fsa,48,Non-induced,Dividing,13.44969625305535
20230801_plate0117_C07.fsa,48,Induced,Dividing,6.231916200212822
20230801_plate0117_C08.fsa,48,Induced,Dividing,7.686351380255161
20230801_plate0117_C09.fsa,48,Induced,Dividing,6.925953834141239
20230801_plate0117_C10.fsa,48,Induced,Dividing,5.62229090401155
20230801_plate0117_C11.fsa,48,Induced,Dividing,8.09392343603588
20230801_plate0117_C12.fsa,48,Induced,Dividing,5.893094723941971
20230801_plate0117_D01.fsa,48,Non-induced,Non-dividing,7.92754205378958
20230801_plate0117_D02.fsa,48,Non-induced,Non-dividing,7.306455851935169
20230801_plate0117_D03.fsa,48,Non-induced,Non-dividing,6.222551999224606
20230801_plate0117_D05.fsa,48,Non-induced,Non-dividing,6.502601908322532
20230801_plate0117_D06.fsa,48,Non-induced,Non-dividing,6.846206790992852
20230801_plate0117_D07.fsa,48,Induced,Non-dividing,3.3810284260577532
20230801_plate0117_D08.fsa,48,Induced,Non-dividing,3.1136287959788547
20230801_plate0117_D09.fsa,48,Induced,Non-dividing,3.100930157908266
20230801_plate0117_D10.fsa,48,Induced,Non-dividing,2.7369416659726937
20230801_plate0117_D11.fsa,48,Induced,Non-dividing,3.0285570653918796
20230801_plate0117_D12.fsa,48,Induced,Non-dividing,2.9321451443825026
20230801_plate0117_G01.fsa,0,Non-induced,Dividing,-0.21504882443430517
20230801_plate0117_G02.fsa,0,Non-induced,Dividing,0
20230801_plate0117_G03.fsa,0,Non-induced,Dividing,0.07864495683905659
20230801_plate0117_G01.fsa,0,Non-induced,Non-dividing,-0.21504882443430517
20230801_plate0117_G02.fsa,0,Non-induced,Non-dividing,0
20230801_plate0117_G03.fsa,0,Non-induced,Non-dividing,0.07864495683905659
