gene,drug,sample,line_code,cell_line,treatment,peak,experiment,avg_peak_area_pixels,total_peak_pixels,peak_prop,correctly_spliced
PMS1,Branaplam,S-21-100,NA,MIN27764,100,2,4/19/2022,3890.083,7501.773,0.518555146896607,TRUE
PMS1,Branaplam,S-21-101,NA,MIN27764,100,2,4/19/2022,3615.376,7630.187,0.4738253466133923,TRUE
PMS1,Branaplam,S-21-102,NA,MIN27764,200,2,4/19/2022,1579.941,7871.822999999999,0.20070840007454438,TRUE
PMS1,Branaplam,S-21-103,NA,MIN27764,200,2,4/19/2022,1575.062,7461.702,0.2110861570188678,TRUE
PMS1,Branaplam,S-21-104,NA,MIN27764,400,2,4/19/2022,284.314,8281.61,0.034330764187156845,TRUE
PMS1,Branaplam,S-21-105,NA,MIN27764,400,2,4/19/2022,246.607,8702.56,0.028337293853762574,TRUE
PMS1,Branaplam,S-21-106,NA,MIN27764,800,2,4/19/2022,35.364,7560.710999999999,0.004677337885286186,TRUE
PMS1,Branaplam,S-21-107,NA,MIN27764,800,2,4/19/2022,45.243,8041.247,0.005626366159378017,TRUE
PMS1,Branaplam,S-21-115,NA,MIN27764,25,2,4/19/2022,5707.347,6392.732,0.8927868398049534,TRUE
PMS1,Branaplam,S-21-116,NA,MIN27764,25,2,4/19/2022,4987.69,6063.902999999999,0.8225214024696635,TRUE
PMS1,Branaplam,S-21-117,NA,MIN27764,50,2,4/19/2022,4371.983,5404.4890000000005,0.8089540010165623,TRUE
PMS1,Branaplam,S-21-118,NA,MIN27764,50,2,4/19/2022,4069.447,5546.438,0.7337045866193762,TRUE
PMS1,Branaplam,S-21-119,NA,MIN27764,100,2,4/19/2022,1613.719,3538.802,0.4560071459211338,TRUE
PMS1,Branaplam,S-21-120,NA,MIN27764,100,2,4/19/2022,2417.962,4681.459,0.516497527800628,TRUE
PMS1,Risdiplam,S-21-478,NA,MIN27764,25,2,20220527,10224.823,11038.086000000001,0.9263220996828616,TRUE
PMS1,Risdiplam,S-21-479,NA,MIN27764,25,2,20220527,9838.581,10658.673,0.9230587147199281,TRUE
PMS1,Risdiplam,S-21-480,NA,MIN27764,50,2,20220527,12154.116,14770.764,0.822849515434679,TRUE
PMS1,Risdiplam,S-21-481,NA,MIN27764,50,2,20220527,8941.581,10578.572,0.8452540664278695,TRUE
PMS1,Risdiplam,S-21-482,NA,MIN27764,100,2,20220527,6945.095,10581.149000000001,0.6563649184034739,TRUE
PMS1,Risdiplam,S-21-483,NA,MIN27764,100,2,20220527,6086.095,9470.442000000001,0.6426410720851254,TRUE
PMS1,Risdiplam,S-21-548,NA,MIN27764,500,2,20220527,964.163,13895.229000000001,0.06938806118272682,TRUE
PMS1,Risdiplam,S-21-549,NA,MIN27764,500,2,20220527,1109.406,11044.158,0.10045184069260871,TRUE
PMS1,Risdiplam,S-21-550,NA,MIN27764,1000,2,20220527,0,12587.288,0,TRUE
PMS1,Risdiplam,S-21-551,NA,MIN27764,1000,2,20220527,0,13975.409,0,TRUE
PMS1,Risdiplam,S-21-552,NA,MIN27764,2000,2,20220527,0,12747.581,0,TRUE
PMS1,Risdiplam,S-21-553,NA,MIN27764,2000,2,20220527,0,11553.459,0,TRUE
