drug,denominator,numerator,n,n_genes,percent
Branaplam,"Bhattacharyya et al., 2021","Bhattacharyya et al., 2021",187,187,1
Branaplam,"Bhattacharyya et al., 2021","Keller et al., 2022",187,24,0.12834224598930483
Branaplam,"Bhattacharyya et al., 2021","Monteys et al., 2021",187,14,0.0748663101604278
Branaplam,"Bhattacharyya et al., 2021","Ottesen et al., 2023",187,11,0.058823529411764705
Branaplam,"Keller et al., 2022","Bhattacharyya et al., 2021",129,24,0.18604651162790697
Branaplam,"Keller et al., 2022","Keller et al., 2022",129,129,1
Branaplam,"Keller et al., 2022","Monteys et al., 2021",129,19,0.14728682170542637
Branaplam,"Keller et al., 2022","Ottesen et al., 2023",129,7,0.05426356589147287
Branaplam,"Monteys et al., 2021","Bhattacharyya et al., 2021",42,14,0.3333333333333333
Branaplam,"Monteys et al., 2021","Keller et al., 2022",42,19,0.4523809523809524
Branaplam,"Monteys et al., 2021","Monteys et al., 2021",42,42,1
Branaplam,"Monteys et al., 2021","Ottesen et al., 2023",42,3,0.07142857142857142
Branaplam,"Ottesen et al., 2023","Bhattacharyya et al., 2021",84,11,0.13095238095238096
Branaplam,"Ottesen et al., 2023","Keller et al., 2022",84,7,0.08333333333333333
Branaplam,"Ottesen et al., 2023","Monteys et al., 2021",84,3,0.03571428571428571
Branaplam,"Ottesen et al., 2023","Ottesen et al., 2023",84,84,1
Risdiplam,"Bhattacharyya et al., 2021","Bhattacharyya et al., 2021",113,113,1
Risdiplam,"Bhattacharyya et al., 2021","Keller et al., 2022",113,NA,NA
Risdiplam,"Bhattacharyya et al., 2021","Monteys et al., 2021",113,NA,NA
Risdiplam,"Bhattacharyya et al., 2021","Ottesen et al., 2023",113,17,0.1504424778761062
Risdiplam,"Keller et al., 2022","Bhattacharyya et al., 2021",NA,NA,NA
Risdiplam,"Keller et al., 2022","Keller et al., 2022",NA,NA,NA
Risdiplam,"Keller et al., 2022","Monteys et al., 2021",NA,NA,NA
Risdiplam,"Keller et al., 2022","Ottesen et al., 2023",NA,NA,NA
Risdiplam,"Monteys et al., 2021","Bhattacharyya et al., 2021",NA,NA,NA
Risdiplam,"Monteys et al., 2021","Keller et al., 2022",NA,NA,NA
Risdiplam,"Monteys et al., 2021","Monteys et al., 2021",NA,NA,NA
Risdiplam,"Monteys et al., 2021","Ottesen et al., 2023",NA,NA,NA
Risdiplam,"Ottesen et al., 2023","Bhattacharyya et al., 2021",655,17,0.025954198473282442
Risdiplam,"Ottesen et al., 2023","Keller et al., 2022",655,NA,NA
Risdiplam,"Ottesen et al., 2023","Monteys et al., 2021",655,NA,NA
Risdiplam,"Ottesen et al., 2023","Ottesen et al., 2023",655,655,1
